statement,label,cleaned_text
Says the Annies List political group supports third-trimester abortions on demand.,0,says the annies list political group supports thirdtrimester abortions on demand
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,1,when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",1,hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran
Health care reform legislation is likely to mandate free sex change surgeries.,0,health care reform legislation is likely to mandate free sex change surgeries
The economic turnaround started at the end of my term.,1,the economic turnaround started at the end of my term
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,1,the chicago bears have had more starting quarterbacks in the last  years than the total number of tenured uw faculty fired during the last two decades
Jim Dunnam has not lived in the district he represents for years now.,0,jim dunnam has not lived in the district he represents for years now
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",1,im the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",1,however it took  million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations centerpacific
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,1,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost  million in higher electricity costs
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",1,for the first time in history the share of the national popular vote margin is smaller than the latino vote margin
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",1,since  nearly  million americans have slipped out of the middle class and into poverty
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0,when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it
The economy bled $24 billion due to the government shutdown.,1,the economy bled  billion due to the government shutdown
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,0,most of the affordable care act has already in some sense been waived or otherwise suspended
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1,in this last election in november   percent of the american people chose not to vote   percent of young people and  percent of lowincome workers chose not to vote
